"X","gene_id","gene_name","gene_start","gene_end","gene_strand","gene_length","gene_description","tf_family","number_figure","T0.T360","T20.T360","T50.T360","T90.T360","T120.T360","T260.T360","Bd"
"BD_RS05155","BD_RS05155","BD_RS05155",1057668,1059188,"+",1521,"TIGR03663 family protein && PF13231:Dolichyl-phosphate-mannose-protein mannosyltransferase","-",3,0.870328696925905,-1.50067287865034,-1.89561665166865,-1.22807231001747,-1.28269195447618,-0.794769482549951,"Bd1123"
"BD_RS05105","BD_RS05105","BD_RS05105",1046786,1048690,"-",1905,"hypothetical protein && -","-",3,1.67250366582995,-0.490256155209949,-2.41536233058254,-4.04066575286565,-3.98469737110127,-1.15747092478785,"Bd1113"
"BD_RS05075","BD_RS05075","BD_RS05075",1041766,1042383,"+",618,"hypothetical protein && -","-",3,-0.0465773014941697,-2.58709948808225,-1.81431509116168,-1.25776658364408,-0.738613181486575,-1.23887631330144,"Bd1106"
"BD_RS04985","BD_RS04985","BD_RS04985",1027580,1028935,"+",1356,"metalloprotease && -","-",3,-0.182782160215338,-2.40444422552971,-1.37447349004897,-1.59183736797823,-2.17622100732754,-1.5084845276107,"Bd1084"
"BD_RS04895","BD_RS04895","BD_RS04895",1009784,1011076,"-",1293,"hypothetical protein && PF00432:Prenyltransferase and squalene oxidase repeat","-",3,0.0997541518020071,-1.20555993059965,-1.58939039648883,-1.93884443374669,-1.68311135977254,-1.83448439495016,"Bd1064"
"BD_RS04890","BD_RS04890","BD_RS04890",1008909,1009787,"+",879,"TIGR02285 family protein && -","-",3,0.604388752029424,-1.37696827568358,-0.719281127899277,-1.15506839798222,-1.16899035197882,-1.71014373689931,"Bd1063"
"BD_RS04855","BD_RS04855","ilvA",1001306,1002517,"+",1212,"threonine ammonia-lyase && PF00291:Pyridoxal-phosphate dependent enzyme","PALP",3,0.303123665309081,-2.45605230643095,-1.82318235076593,-1.36759336983324,-1.28879404501593,-1.68161568438191,"Bd1056"
"BD_RS04775","BD_RS04775","BD_RS04775",983229,983699,"+",471,"hypothetical protein && -","-",3,-0.261038657310083,-1.76284231058872,-2.1239028853796,-2.000682780274,-1.7141695117357,-0.773767415576251,"Bd1037"
"BD_RS04750","BD_RS04750","BD_RS04750",978242,979096,"+",855,"alpha/beta fold hydrolase && PF12695:Alpha/beta hydrolase family","-",3,0.189966660110145,-3.02709864694499,-2.38752285981506,-2.40672102449649,-0.532999554231317,-0.185606213080078,"Bd1031"
"BD_RS04735","BD_RS04735","BD_RS04735",975217,976155,"+",939,"DUF429 domain-containing protein && PF04250:Protein of unknown function (DUF429)","-",3,0.936466015868444,-1.31420604551619,-1.37207660658714,-1.55036856225378,-0.905973756464689,0.724937352295556,"Bd1028"
"BD_RS04695","BD_RS04695","BD_RS04695",967408,968298,"+",891,"RsmB/NOP family class I SAM-dependent RNA methyltransferase && PF01189:16S rRNA methyltransferase RsmF","-",3,0.373019572341934,-2.02199233807714,-1.92027596278217,-1.52873692850545,-0.883583890473016,-0.00726484798103626,"Bd1019"
"BD_RS04655","BD_RS04655","BD_RS04655",957113,957619,"+",507,"histidine phosphatase family protein && PF00300:Histidine phosphatase superfamily (branch 1)","-",3,-0.0217256964397999,-1.33657381173119,-2.01986660566393,-1.22531395970575,-0.747153787606652,0.69528780883759,"Bd1011"
"BD_RS04555","BD_RS04555","aat",935188,935829,"+",642,"leucyl/phenylalanyl-tRNA--protein transferase && PF03588:Leucyl/phenylalanyl-tRNA protein transferase","-",3,-0.0928223971772059,-1.88467041742172,-1.35624218316052,-1.21237053465113,-1.79927208038065,-1.02754755014041,"Bd0990"
"BD_RS04550","BD_RS04550","BD_RS04550",934091,935164,"+",1074,"PQQ-dependent sugar dehydrogenase && PF07995:Glucose / Sorbosone dehydrogenase","-",3,-0.0159157484119737,-1.74594910416567,-0.714595526945279,-1.18845283569052,-1.29347230518122,-0.921902241763644,"Bd0989"
"BD_RS04520","BD_RS04520","BD_RS04520",927960,928748,"+",789,"dienelactone hydrolase family protein && PF01738:Dienelactone hydrolase family","-",3,-0.0669942897680603,-1.26977258613638,-1.37535654659314,-1.99870945839214,-1.54450335354424,-1.04987357120096,"Bd0982"
"BD_RS04440","BD_RS04440","BD_RS04440",908005,908805,"+",801,"hypothetical protein && -","-",3,0.656166886662462,-1.48196294186324,-1.93595270625076,-1.70551941015136,-1.19961908871254,-0.231026487786547,"Bd0962"
"BD_RS04305","BD_RS04305","BD_RS04305",885943,886986,"-",1044,"hypothetical protein && -","-",3,-0.204900064522054,-1.09191358853568,-2.16140881796244,-1.39223468901511,-1.06844468686141,-1.00745888329646,"Bd0933"
"BD_RS04205","BD_RS04205","BD_RS04205",862400,863116,"+",717,"SDR family oxidoreductase && -","-",3,0.452374421334935,-1.13206872436643,-2.07933370855704,-1.66876909551594,-0.620591844573027,-0.162637136719476,"Bd0911"
"BD_RS04195","BD_RS04195","BD_RS04195",861248,861682,"+",435,"OsmC family protein && PF02566:OsmC-like protein","-",3,0.732007144358978,-1.73267067533303,-1.6064349456149,-1.9867414532132,-0.688325696866452,0.108238654312368,"Bd0909"
"BD_RS04190","BD_RS04190","BD_RS04190",860637,861191,"-",555,"HTH domain-containing protein && -","-",3,0.356741868808909,-1.54304106396566,-2.29491351448924,-1.51436721291034,0.300946765099105,0.745633252502882,"Bd0908"
"BD_RS04155","BD_RS04155","BD_RS04155",854098,855240,"+",1143,"MBL fold metallo-hydrolase && PF12706:Beta-lactamase superfamily domain","-",3,0.149568641386444,-1.18532876802354,-1.66728031478729,-2.21249505036092,-1.8179776086503,-1.47069770070415,"Bd0901"
"BD_RS04145","BD_RS04145","fghA",851960,852790,"+",831,"S-formylglutathione hydrolase && PF00756:Putative esterase","-",3,0.0165139329275665,-2.08078364116799,-1.21535044156382,-1.60911208809478,-1.28732106541494,-1.01848642280503,"Bd0899"
"BD_RS04120","BD_RS04120","BD_RS04120",846781,847281,"+",501,"DUF3341 domain-containing protein && -","-",3,0.68517594452738,-0.845317342663328,-2.12996044312008,-2.02537619151053,-1.83978879972483,-0.956319966014293,"Bd0894"
"BD_RS04110","BD_RS04110","BD_RS04110",845887,846192,"+",306,"hypothetical protein && -","-",3,0.588264352234579,-0.153095232730716,-1.99677132720352,-2.90595899510665,-1.48334580750919,0.0638544058340774,"Bd0892"
"BD_RS04105","BD_RS04105","BD_RS04105",844836,845708,"-",873,"DUF72 domain-containing protein && PF01904:Protein of unknown function DUF72","-",3,1.28635918202812,-0.496603069177674,-2.92123086826247,-1.35844310195584,-1.58757026065519,-0.75842536726304,"Bd0891"
"BD_RS04095","BD_RS04095","BD_RS04095",841309,844407,"+",3099,"efflux RND transporter permease subunit && PF00873:AcrB/AcrD/AcrF family","ACR_tran",3,-0.0210426211924954,-0.414292923654767,-1.42149874069444,-1.26490317405186,-0.143732574401797,0.461026275399333,"Bd0888"
"BD_RS04080","BD_RS04080","BD_RS04080",837957,838286,"+",330,"DUF1904 domain-containing protein && PF08921:Domain of unknown function (DUF1904)","-",3,-0.230899961852048,-0.871193910872874,-1.36635929188046,-1.94683227405934,-1.76112862515334,-1.15580366971317,"Bd0885"
"BD_RS03945","BD_RS03945","BD_RS03945",809494,810282,"+",789,"A24 family peptidase && PF01478:Type IV leader peptidase family|PF06750:Bacterial Peptidase A24 N-terminal domain","-",3,-0.245576789896858,-2.15857822376314,-1.88920399818956,-1.94137637483043,-0.972582151631729,0.582992916637193,"Bd0862"
"BD_RS03840","BD_RS03840","lptC",788614,789630,"+",1017,"LPS export ABC transporter periplasmic protein LptC && PF06835:Lipopolysaccharide-assembly, LptC-related","-",3,0.0116273629682016,-1.60901182273505,-1.77590736185534,-1.81569430167109,-0.953998249896481,0.0488112752971702,"Bd0840"
"BD_RS03750","BD_RS03750","BD_RS03750",770307,771467,"+",1161,"hypothetical protein && -","-",3,0.622855894357421,-1.09055147824135,-0.768829835472846,-2.04087586969949,-1.62675493058754,-1.29638851457265,"Bd0820"
"BD_RS03745","BD_RS03745","BD_RS03745",768559,770307,"+",1749,"DUF3616 domain-containing protein && PF12275:Protein of unknown function (DUF3616)","-",3,0.492562556724818,-0.888751052216551,-1.79786821610607,-1.88837391074582,-1.62634982068069,-1.39923449248485,"Bd0819"
"BD_RS03730","BD_RS03730","BD_RS03730",765645,766289,"+",645,"hypothetical protein && -","-",3,0.419929103658592,-0.563995248004844,-1.23575439605739,-3.30155393701268,-2.239214726321,-1.95421735631333,"Bd0815"
"BD_RS03725","BD_RS03725","BD_RS03725",763392,765503,"-",2112,"PQQ-dependent sugar dehydrogenase && PF07995:Glucose / Sorbosone dehydrogenase","-",3,-0.185720819365777,-1.53445871315107,-2.21561804865533,-2.24565364779806,-1.86929446829737,0.304259239406861,"Bd0814"
"BD_RS03715","BD_RS03715","BD_RS03715",761752,761827,"+",76,"tRNA-Ala && -","-",3,0.625408813366579,-1.36381160673456,-2.8596832944792,-1.22586907671577,-1.41989237881068,-1.93660312454562,"a_0008"
"BD_RS03480","BD_RS03480","BD_RS03480",719624,720343,"+",720,"DUF3750 domain-containing protein && PF12570:Protein of unknown function (DUF3750)","-",3,-0.340193137777555,-1.56750388416765,-1.92214285144004,-1.93421835431465,-1.84466624834471,-1.10963689036274,"Bd0758"
"BD_RS03255","BD_RS03255","BD_RS03255",667519,669471,"+",1953,"ABC transporter permease && PF00005:ABC transporter|PF02687:FtsX-like permease family|PF12704:MacB-like periplasmic core domain|PF07673:Protein of unknown function (DUF1602)","ABC_tran",3,0.533857068514652,-1.08721545566281,-1.08146140965675,-1.91935769568184,-1.61663088981507,-1.09004896118752,"Bd0709"
"BD_RS03250","BD_RS03250","BD_RS03250",666557,667522,"+",966,"HlyD family efflux transporter periplasmic adaptor subunit && PF00529:HlyD membrane-fusion protein of T1SS|PF16576:Barrel-sandwich domain of CusB or HlyD membrane-fusion","HlyD",3,0.815993313815156,-0.816398323690012,-1.73934323004109,-3.02234829712718,-2.00001270805186,-1.08311478382514,"Bd0708"
"BD_RS03010","BD_RS03010","BD_RS03010",610782,611024,"+",243,"hypothetical protein && -","-",3,3.51303518888789,-1.10552770925115,-1.77859563495505,-2.56096224809333,-1.92156317962903,-2.24145295291693,"Bd0659"
"BD_RS03005","BD_RS03005","BD_RS03005",608907,610724,"+",1818,"monovalent cation:proton antiporter-2 (CPA2) family protein && PF02254:TrkA-N domain|PF00999:Sodium/hydrogen exchanger family","Na_H_Exchanger",3,-0.12175960759445,-1.18364317288268,-1.21195653579137,-1.48478079536554,-1.19525745966193,-1.03778200720598,"Bd0658"
"BD_RS02985","BD_RS02985","BD_RS02985",605794,606390,"-",597,"CoA pyrophosphatase && PF00293:NUDIX domain","NUDIX",3,-0.231709268060055,-0.740884264710042,-1.12873041655988,-1.41018035880225,-0.946035020710011,-1.14593092229766,"Bd0654"
"BD_RS02965","BD_RS02965","BD_RS02965",602178,602681,"-",504,"heme-binding protein && PF03928:Haem-degrading","DUF336",3,-0.683658495575581,0.146322055256564,-0.731791791475543,-1.64021030888015,-1.89395331634192,-0.929431392546493,"Bd0648"
"BD_RS02915","BD_RS02915","BD_RS02915",595003,595689,"+",687,"hypothetical protein && -","-",3,0.818322710388537,-0.341307676017797,-1.79841608752784,-2.17896024093726,-1.96220505027805,-0.943454396839418,"Bd0639"
"BD_RS02705","BD_RS02705","BD_RS02705",550963,552393,"+",1431,"ABC transporter permease subunit && PF00528:Binding-protein-dependent transport system inner membrane component","BPD_transp_1",3,0.226015502933756,-1.3907779807173,-1.55163759412741,-1.86186753679538,-1.55266752079673,0.16620929395105,"Bd0594"
"BD_RS02520","BD_RS02520","BD_RS02520",513066,513725,"+",660,"hypothetical protein && -","-",3,-0.424230517033775,-0.0356821701369422,-1.60085374440625,-1.72724236162422,-1.28068265932822,-2.07209702624468,"Bd0552"
"BD_RS02360","BD_RS02360","BD_RS02360",481828,482181,"+",354,"DUF488 domain-containing protein && PF04343:Protein of unknown function, DUF488","-",3,-0.181881295384399,-4.47061284928345,-2.85319486848257,-1.33744384001875,-1.07080822781818,-2.67083630595158,"Bd0515"
"BD_RS02320","BD_RS02320","BD_RS02320",474668,475462,"+",795,"transporter substrate-binding domain-containing protein && PF00497:Bacterial extracellular solute-binding proteins, family 3","-",3,0.476002905564121,-1.51391710439665,-1.40895064228069,-1.33800199350189,-0.889696050643418,-1.43050080806107,"Bd0505"
"BD_RS02120","BD_RS02120","BD_RS02120",434103,435251,"+",1149,"hypothetical protein && -","-",3,0.139677584245435,-1.93047624198446,-1.84170223010018,-2.61217426922281,-1.93142700863832,0.209269501234925,"Bd0462"
"BD_RS02050","BD_RS02050","BD_RS02050",419631,420242,"+",612,"class I SAM-dependent methyltransferase && PF12847:Methyltransferase domain","-",3,0.910021923266877,-1.95006368691004,-2.03220943361581,-1.68722623874357,-0.279238254057952,-0.150770642547975,"Bd0447"
"BD_RS02015","BD_RS02015","BD_RS02015",412646,413080,"+",435,"cupin domain-containing protein && -","-",3,0.769527134538034,-0.740383082414257,-1.4453164461202,-1.83688912126996,-1.63927785777253,-1.82157436917794,"Bd0440"
"BD_RS01870","BD_RS01870","BD_RS01870",382705,383040,"+",336,"hypothetical protein && -","-",3,0.0922415274368308,-1.0278674311612,-2.02743769651161,-2.47114842015273,-1.00597290538362,1.00490008548454,"Bd0406"
"BD_RS01865","BD_RS01865","BD_RS01865",381901,382653,"+",753,"SDR family oxidoreductase && PF00106:short chain dehydrogenase","adh_short",3,-0.0409718686548506,-1.24862575204562,-1.90321570432317,-2.80401032035844,-0.792589050455809,1.32815085057696,"Bd0405"
"BD_RS01860","BD_RS01860","BD_RS01860",380675,381856,"+",1182,"acetyl-CoA C-acetyltransferase && PF00108:Thiolase, N-terminal domain|PF02803:Thiolase, C-terminal domain","Thiolase_N",3,-0.33690645769929,-0.280168488628461,-1.79380750247107,-2.73295449549177,-0.93964401747075,0.421392775394375,"Bd0404"
"BD_RS01800","BD_RS01800","BD_RS01800",366748,367767,"-",1020,"hypothetical protein && -","-",3,0.131597777775669,-1.40470270647769,-2.37196420518605,-2.04661516692215,-1.16764969923218,-0.926920528468961,"Bd0391"
"BD_RS01785","BD_RS01785","BD_RS01785",364754,365671,"+",918,"hypothetical protein && -","-",3,0.387439831248309,-2.39472123617909,-1.22547062694451,-2.21743275366718,-0.928520498927529,-0.147267024581832,"Bd0388"
"BD_RS01780","BD_RS01780","BD_RS01780",364036,364680,"-",645,"hypothetical protein && -","-",3,-0.406732666194077,-1.63416823839569,-1.9654016921173,-1.61697536602048,-0.518290754267963,-0.67109346955723,"Bd0387"
"BD_RS01770","BD_RS01770","BD_RS01770",361970,363292,"-",1323,"hypothetical protein && -","-",3,0.193282133067719,-1.70920315143384,-1.88716202329789,-2.04686420723765,-1.58045500811692,-0.642235403551671,"Bd0385"
"BD_RS01765","BD_RS01765","BD_RS01765",358792,361986,"-",3195,"error-prone DNA polymerase && PF14579:Helix-hairpin-helix motif|PF02811:PHP domain|PF07733:Bacterial DNA polymerase III alpha subunit","-",3,0.288752845452623,-1.55088252554759,-2.0097912874494,-1.7413869199381,-1.28451232098676,-0.838808784746322,"Bd0384"
"BD_RS01750","BD_RS01750","BD_RS01750",355984,356640,"+",657,"O-methyltransferase && PF01596:O-methyltransferase","-",3,-0.0206804858664099,-2.10775013509654,-1.78220826257669,-2.47520774343024,-1.40485117839072,-0.981915418305511,"Bd0381"
"BD_RS01670","BD_RS01670","BD_RS01670",338751,339635,"+",885,"hypothetical protein && -","-",3,0.168627173861658,-2.31831295054527,-0.959818005821255,-0.846448365785282,-0.764845947593706,-1.96480243821068,"Bd0362"
"BD_RS01625","BD_RS01625","BD_RS01625",329202,330077,"+",876,"GNAT family N-acetyltransferase && PF13444:Acetyltransferase (GNAT) domain","-",3,0.671172024569155,-0.531126481739401,-1.56353475548837,-1.7816467728561,-1.86605169630261,-1.82667440999032,"Bd0347"
"BD_RS01605","BD_RS01605","BD_RS01605",324080,326629,"+",2550,"FtsX-like permease family protein && PF12704:MacB-like periplasmic core domain|PF02687:FtsX-like permease family","-",3,-0.142053023838431,-2.41842506267666,-2.14478716570938,-1.52541646445386,-0.233740830964756,-0.178444773294054,"Bd0342"
"BD_RS01590","BD_RS01590","BD_RS01590",322390,322752,"+",363,"RNA-binding protein && PF00076:RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","RRM_1",3,0.559222473922499,-2.96142275980534,-1.32458811912843,-1.49231224024795,-1.48182325551996,-1.17657949130395,"Bd0339"
"BD_RS01550","BD_RS01550","BD_RS01550",314345,315454,"-",1110,"naringenin-chalcone synthase && PF02797:Chalcone and stilbene synthases, C-terminal domain","Chal_sti_synt_C",3,0.706424731421304,-1.88996874343337,-1.65168132990116,-1.89331349838305,-1.44395540417503,-0.862158394575918,"Bd0331"
"BD_RS01450","BD_RS01450","BD_RS01450",299388,300551,"+",1164,"benzoate/H(+) symporter BenE family transporter && PF03594:Benzoate membrane transport protein","-",3,0.228698197458175,-1.1485473568302,-1.47523908937547,-1.89022671773874,-1.16651646405737,-1.65997730662664,"Bd0311"
"BD_RS01440","BD_RS01440","BD_RS01440",298061,298909,"-",849,"pirin family protein && PF02678:Pirin|PF05726:Pirin C-terminal cupin domain","-",3,-0.00714380299252,-0.713282056047043,-1.76346838379185,-1.95843117691258,-0.805607427410998,-0.865154328901044,"Bd0309"
"BD_RS01435","BD_RS01435","BD_RS01435",297450,298064,"+",615,"DUF899 family protein && PF05988:Bacterial protein of unknown function (DUF899)","-",3,0.842508245166097,-1.2589156181441,-1.35895698339389,-2.2098565594345,-1.77290640938714,-1.171864726,"Bd0308"
"BD_RS01430","BD_RS01430","BD_RS01430",296463,297362,"+",900,"phosphotransferase && PF04655:Aminoglycoside/hydroxyurea antibiotic resistance kinase","-",3,1.2592923105278,-1.38761514113389,-1.48403039196923,-2.06089050615942,-0.805642313922988,0.717653224908795,"Bd0307"
"BD_RS01380","BD_RS01380","pbpC",285634,287652,"+",2019,"penicillin-binding protein 1C && PF06832:Penicillin-Binding Protein C-terminus Family|PF00912:Transglycosylase|PF00905:Penicillin binding protein transpeptidase domain","-",3,0.740844738975768,-1.91032322633176,-1.45071338269638,-1.55415278636141,-0.538736416076793,0.291800423155961,"Bd0297"
"BD_RS01375","BD_RS01375","BD_RS01375",280169,285637,"+",5469,"MG2 domain-containing protein && PF07703:Alpha-2-macroglobulin family N-terminal region|PF01835:MG2 domain|PF00207:Alpha-2-macroglobulin family|PF11974:Alpha-2-macroglobulin MG1 domain","A2M_N_2",3,0.76479632698119,-1.28716707667206,-1.84036228075461,-2.14845680153802,-0.115651848231838,0.813014059950711,"Bd0296"
"BD_RS01265","BD_RS01265","BD_RS01265",261680,262243,"+",564,"hypothetical protein && -","-",3,-0.115588370876676,-2.19600102781233,-2.12185266805671,-1.41025055073971,-0.892256504163991,0.270813385820053,"Bd0274"
"BD_RS01225","BD_RS01225","BD_RS01225",253815,254369,"+",555,"DUF4383 domain-containing protein && PF14325:Domain of unknown function (DUF4383)","-",3,0.0977903896294504,-0.560092931561815,-1.30531778215506,-2.21527635693898,-1.71808793672839,-1.29642565616112,"Bd0265"
"BD_RS01215","BD_RS01215","BD_RS01215",251519,252796,"+",1278,"hypothetical protein && -","-",3,0.0798742716606635,-1.43920052134253,-1.55941497463288,-2.2669324411727,-1.72726920291252,-1.13181287107718,"Bd0263"
"BD_RS01200","BD_RS01200","BD_RS01200",247795,249078,"+",1284,"Na+/H+ antiporter NhaC family protein && PF03553:Na+/H+ antiporter family","-",3,-0.239539362965125,-1.86908382536536,-1.32519489608104,-2.25076838275492,-1.68254099410945,-1.68464476384443,"Bd0259"
"BD_RS01170","BD_RS01170","BD_RS01170",240179,241618,"-",1440,"helix-turn-helix domain-containing protein && PF02805:Metal binding domain of Ada|PF12833:Helix-turn-helix domain|PF06029:AlkA N-terminal domain","AlkA_N",3,0.924050476010086,-0.620926763240115,-1.53788424258015,-1.4940386704201,-0.667255761643013,0.125823726010166,"Bd0253"
"BD_RS01160","BD_RS01160","BD_RS01160",236225,239695,"+",3471,"hypothetical protein && -","-",3,0.751571343683696,-0.872994820271791,-0.528584177248943,-0.871676801827962,-0.933854966526693,-1.37406396867884,"Bd0251"
"BD_RS01155","BD_RS01155","BD_RS01155",235031,236005,"-",975,"DUF4214 domain-containing protein && -","-",3,0.314146323623859,-1.9025504508632,-1.12517363533098,-2.06936581177906,-1.70301406649888,-1.42517115113685,"Bd0250"
"BD_RS01150","BD_RS01150","BD_RS01150",234407,235030,"-",624,"prepilin-type N-terminal cleavage/methylation domain-containing protein && -","-",3,0.00928191556864864,-1.81909087026195,-1.55676836494051,-2.20277198078202,-1.79578402617313,-1.4558311925572,"Bd0249"
"BD_RS01070","BD_RS01070","BD_RS01070",220077,220889,"+",813,"type 1 glutamine amidotransferase && PF07722:Peptidase C26","-",3,0.493232676807452,-1.80379988356279,-2.12068874562567,-2.13995016726908,-0.564509588099945,1.39889847812336,"Bd0234"
"BD_RS00945","BD_RS00945","BD_RS00945",190690,192051,"+",1362,"hypothetical protein && -","-",3,0.461623349227438,-0.831607347758231,-1.95712344609398,-2.73026764625433,-1.65333313001362,-1.54084314612619,"Bd0204"
"BD_RS00630","BD_RS00630","BD_RS00630",119907,120506,"+",600,"nitroreductase family protein && PF00881:Nitroreductase family","Nitroreductase",3,-0.731838564216134,-2.63620059296675,-1.86104264913579,-1.93557741767763,-0.670947019327858,-0.400999262091242,"Bd0135"
"BD_RS00465","BD_RS00465","BD_RS00465",88821,89933,"+",1113,"hypothetical protein && -","-",3,-0.0197494022573872,-1.53681663802519,-1.70048577043104,-1.88654637092925,-1.48066400419324,-1.06961680177259,"Bd0095"
"BD_RS00445","BD_RS00445","BD_RS00445",86828,87535,"+",708,"cytochrome b/b6 domain-containing protein && PF01292:Prokaryotic cytochrome b561","Ni_hydr_CYTB",3,0.311696317595109,-1.45334678446812,-1.19915978147854,-1.45918835485887,-1.77535318422655,-2.00959069079827,"Bd0092"
"BD_RS00440","BD_RS00440","BD_RS00440",86377,86634,"-",258,"PepSY domain-containing protein && PF13670:Peptidase propeptide and YPEB domain","-",3,-0.244087136366259,-2.3335915397219,-1.27550591444848,-2.55349060947003,-1.99257851731486,-1.75282304699562,"Bd0091"
"BD_RS00420","BD_RS00420","BD_RS00420",84374,85216,"+",843,"DUF4423 domain-containing protein && PF14394:Domain of unknown function (DUF4423)","-",3,-0.0667501924836198,-0.133046899898626,-1.45494838046009,-1.77369199460788,-0.608837443042478,-0.197726303659381,"Bd0089"
"BD_RS00140","BD_RS00140","BD_RS00140",28509,29198,"-",690,"FHA domain-containing protein && PF00498:FHA domain","FHA",3,-0.205013446473584,-1.41627118105178,-1.76987610212465,-2.00541378912009,-1.59380446280333,0.723883275975539,"Bd0031"
"sRNA00307","sRNA00307","-",3433837,3433890,"+",54,"-","-",4,0.0577407285904128,-2.60382651676211,-4.35121257162132,-3.90610307199006,-3.9504588834297,-1.72980757820899,NA
"sRNA00298","sRNA00298","-",3381615,3381686,"+",72,"-","-",4,-1.01572387612031,-3.19628278399642,-5.07885702243975,-4.95132765669324,-5.2652285816905,-4.05002193862242,NA
"sRNA00282","sRNA00282","-",3185675,3185745,"-",71,"-","-",4,0.133148013935133,-3.28228553996836,-3.55389341281448,-4.13480718077125,-4.53707005594879,-3.80210028260658,NA
"sRNA00273","sRNA00273","-",3079844,3080037,"+",194,"-","-",4,-1.3445389890488,-3.63204056529564,-4.15649925268055,-3.88923503592314,-4.12423510273483,-3.35310927204214,NA
"sRNA00267","sRNA00267","-",3001036,3001202,"+",167,"-","-",4,-0.410940813669973,-3.47116408978361,-3.74076191949885,-5.18320885410886,-4.50733093701274,-3.27244577674175,NA
"sRNA00237","sRNA00237","-",2827469,2827524,"+",56,"-","-",4,0.285173721456709,-2.05137859683422,-3.98853474408165,-4.94326781436198,-3.63714650040633,-3.05512941774768,NA
"sRNA00235","sRNA00235","-",2827239,2827288,"+",50,"-","-",4,-0.00455242597740752,-3.0922494588916,-4.7346445104112,-3.31012082383528,-3.63250682305351,-3.32523602241647,NA
"sRNA00227","sRNA00227","-",2656657,2656737,"+",81,"-","-",4,-0.812868509533891,-2.63889894564253,-3.64822127723998,-4.21937060906197,-3.72516168634457,-2.78597822440184,NA
"sRNA00214","sRNA00214","-",2444097,2444188,"-",92,"-","-",4,-0.326577601325332,-2.2304426876472,-3.66939543371042,-4.19696135938375,-3.79202876119591,-3.98723701772205,NA
"sRNA00209","sRNA00209","-",2373045,2373131,"+",87,"-","-",4,-0.519223532921179,-3.17877906445728,-2.8718724330751,-4.55458857458737,-3.44335860746262,-3.08615033547236,NA
"sRNA00201","sRNA00201","-",2244562,2244638,"+",77,"-","-",4,0.105675769187995,-2.13669772105672,-3.50388928944004,-3.05371246522043,-4.41145140013257,-3.75949234352611,NA
"sRNA00200","sRNA00200","-",2243771,2243848,"+",78,"-","-",4,-0.895589699898698,-3.45310834691242,-3.69173463685091,-5.0237918666427,-5.50634788480954,-4.10587189408335,NA
"sRNA00194","sRNA00194","-",2202291,2202427,"+",137,"-","-",4,0.0060041413240908,-3.47627929332981,-3.22101902681547,-4.665920147399,-4.16023164214836,-3.69827964993871,NA
"sRNA00190","sRNA00190","-",2183011,2183090,"+",80,"-","-",4,-0.624795431399704,-1.31726133840604,-1.72636011230384,-3.29743392939464,-3.75685297574041,-3.39346709616177,NA
"sRNA00180","sRNA00180","-",2116702,2116825,"-",124,"-","-",4,-0.872107998465809,-2.38367050482354,-4.69103109516257,-3.42987867726325,-3.87470997472325,-3.64188885078019,NA
"sRNA00170","sRNA00170","-",2001031,2001112,"-",82,"-","-",4,-0.301167412422402,-2.64432078384063,-2.72819188736235,-3.70867034868957,-4.39358847879405,-3.4677894432729,NA
"sRNA00166","sRNA00166","-",1954326,1954381,"+",56,"-","-",4,-0.712255999614812,-3.41573896352877,-2.67923307975635,-4.70099365611086,-5.27599284896515,-2.94405982662105,NA
"sRNA00158","sRNA00158","-",1927779,1927870,"-",92,"-","-",4,-1.07412144127102,-2.79644411343906,-1.93509832030173,-2.9249091680148,-3.70460707784327,-4.72531968940168,NA
"sRNA00143","sRNA00143","-",1807231,1807490,"-",260,"-","-",4,-0.857718321188479,-2.64020533477746,-2.31180502534998,-3.57592297804473,-3.63975578742087,-3.61983853817922,NA
"sRNA00100","sRNA00100","-",1338769,1338829,"-",61,"-","-",4,-0.18769457481368,-3.34331810763232,-2.43565714786028,-4.23837542599343,-4.46933646622756,-4.92053572873406,NA
"sRNA00092","sRNA00092","-",1199975,1200246,"-",272,"-","-",4,-0.123510439880316,-2.92050143300985,-2.47564876543684,-4.33053857905947,-3.98318726724589,-3.45157295374829,NA
"sRNA00089","sRNA00089","-",1186601,1186669,"-",69,"-","-",4,0.300456113353987,-2.30505328628149,-3.24371881375554,-3.87570042736814,-4.06337356837619,-3.24971830452106,NA
"sRNA00067","sRNA00067","-",961627,961750,"-",124,"-","-",4,-0.0678989038735207,-3.6988416513863,-5.28770069486469,-5.29594306236071,-5.92640858741246,-4.22227910148149,NA
"sRNA00054","sRNA00054","-",829053,829193,"+",141,"-","-",4,0.441315708359987,-2.89768408417837,-4.21867719401782,-4.63783861077733,-5.79529844631295,-4.14007098039279,NA
"sRNA00052","sRNA00052","-",679588,679654,"-",67,"-","-",4,-0.829158315794366,-3.1176483469524,-3.95656432554033,-3.90980978185273,-3.26088165297574,-3.75374115630108,NA
"sRNA00047","sRNA00047","-",605427,605797,"+",371,"-","-",4,0.64750148544082,-4.17698877756078,-4.48067816024427,-4.98656102170515,-5.36339302931771,-5.07100766401034,NA
"sRNA00040","sRNA00040","-",526308,526500,"+",193,"-","-",4,-0.681110012510151,-4.68229250601413,-3.60748142153884,-3.98444970320685,-4.30224856270049,-3.95374953379279,NA
